단지고유번호,필지고유번호,주소,단지명_공시가격,단지명_건축물대장,단지명_도로명주소,단지종류,동수,세대수,사용승인일,정제된_주소,lat,lon
41271320356336,4127110200105430013,경기도 안산상록구 이동 543-13,대림캐슬,,,3,1,9,2017-09-01,경기도 안산상록구 이동 543-13,37.3110929,126.8624893
41271320311843,4127110200105440001,경기도 안산상록구 이동 544-1,대현그랑시아,대현그랑시아,대현그랑시아,3,1,8,2015-01-23,경기도 안산상록구 이동 544-1,37.3108668,126.8623791
41271320159142,4127110200105440003,경기도 안산상록구 이동 544-3,오성에버빌A,오성에버빌,오성에버빌,3,1,8,2012-06-18,경기도 안산상록구 이동 544-3,37.3106546,126.8619863
41271320180135,4127110200105440005,경기도 안산상록구 이동 544-5,TRHOUSE,티알하우스,티알하우스,3,1,16,2013-06-14,경기도 안산상록구 이동 544-5,37.3107634,126.8621845
41271320159134,4127110200105440007,경기도 안산상록구 이동 544-7,오성에버빌B,오성에버빌,오성에버빌,3,1,4,2012-06-18,경기도 안산상록구 이동 544-7,37.3105953,126.8621069
41271320437969,4127110200105450000,경기도 안산상록구 이동 545,예그리나,예그리나,예그리나,3,1,8,2022-07-12,경기도 안산상록구 이동 545,37.3103427,126.8634793
41271312168598,4127110200105450003,경기도 안산상록구 이동 545-3,(545-3),,,3,1,14,2002-10-28,경기도 안산상록구 이동 545-3,37.3100374,126.8633013
41271312168599,4127110200105450004,경기도 안산상록구 이동 545-4,(545-4),,,3,1,19,2003-06-18,경기도 안산상록구 이동 545-4,37.3099708,126.8631301
41271320182686,4127110200105450012,경기도 안산상록구 이동 545-12,참터그린빌,참터그린빌,참터그린빌,3,1,8,2013-09-09,경기도 안산상록구 이동 545-12,37.3102638,126.8618145
41271320116701,4127110200105450014,경기도 안산상록구 이동 545-14,청솔빌,청솔빌,청솔빌,3,1,8,2009-04-21,경기도 안산상록구 이동 545-14,37.3104424,126.8617855
41271312168600,4127110200105450015,경기도 안산상록구 이동 545-15,상록파크빌,,,3,1,12,2001-11-29,경기도 안산상록구 이동 545-15,37.3103954,126.8619597
41271312168601,4127110200105450016,경기도 안산상록구 이동 545-16,조아그린빌라,,,3,1,12,2001-12-10,경기도 안산상록구 이동 545-16,37.3103422,126.8621318
41271312168602,4127110200105450017,경기도 안산상록구 이동 545-17,(545-17),,,3,1,19,2002-03-04,경기도 안산상록구 이동 545-17,37.310289,126.8623039
41271312168603,4127110200105450018,경기도 안산상록구 이동 545-18,청록하이츠빌,,,3,1,10,2002-10-14,경기도 안산상록구 이동 545-18,37.3102357,126.8624761
41271320071437,4127110200105450019,경기도 안산상록구 이동 545-19,롯데훼밀,,,3,1,8,2007-07-25,경기도 안산상록구 이동 545-19,37.3101824,126.8626483
41271312168604,4127110200105450020,경기도 안산상록구 이동 545-20,(545-20),,,3,1,17,2002-11-26,경기도 안산상록구 이동 545-20,37.3101309,126.8628197
41271320141154,4127110200105450023,경기도 안산상록구 이동 545-23,리다스빌,,,3,1,15,1994-07-11,경기도 안산상록구 이동 545-23,37.3102407,126.863326
41271320442338,4127110200105460003,경기도 안산상록구 이동 546-3,유밸리어스,유밸리어스,유밸리어스,3,1,7,2023-01-26,경기도 안산상록구 이동 546-3,37.309764,126.8624131
41271312168605,4127110200105470002,경기도 안산상록구 이동 547-2,(547-2),,,3,1,18,2002-10-16,경기도 안산상록구 이동 547-2,37.3097932,126.8638869
41271312168606,4127110200105470005,경기도 안산상록구 이동 547-5,(547-5),,,3,1,18,2001-04-19,경기도 안산상록구 이동 547-5,37.3095672,126.8635441
41271320293600,4127110200105470006,경기도 안산상록구 이동 547-6,메종-숲A동(547-6),,,3,1,8,2014-06-27,경기도 안산상록구 이동 547-6,37.3094911,126.8634287
41271320293478,4127110200105470007,경기도 안산상록구 이동 547-7,메종-숲B동(547-7),,,3,1,8,2014-06-27,경기도 안산상록구 이동 547-7,37.3094192,126.8633097
41271312168607,4127110200105470009,경기도 안산상록구 이동 547-9,궁전쉐르빌,궁전쉐르빌,궁전쉐르빌,3,1,10,2002-10-10,경기도 안산상록구 이동 547-9,37.3095521,126.8629568
41271320409979,4127110200105470010,경기도 안산상록구 이동 547-10,에이스캐슬,에이스캐슬,에이스캐슬,3,1,8,2020-06-16,경기도 안산상록구 이동 547-10,37.3096586,126.8627996
41271320418625,4127110200105470011,경기도 안산상록구 이동 547-11,스위트캐슬,,,3,1,6,2021-04-21,경기도 안산상록구 이동 547-11,37.309667,126.8629989
41271320442476,4127110200105470012,경기도 안산상록구 이동 547-12,라테라스,라테라스,라테라스,3,1,8,2023-02-02,경기도 안산상록구 이동 547-12,37.3096603,126.8631567
